,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,tip_amount,tolls_amount,congestion_surcharge,airport_fee,PUZone,DOZone,PULat,PULong,DOLat,DOLong,duration,speed_minutes,hour_pickup,minute_pickup,day_pickup,peak_hour
2213881,1.0,2.898,162,107,10.0,2.5,3.95,0.0,2.5,0.0,JFK Airport,Lenox Hill West,40.63983,-73.77874,40.7708,-73.9567,12.466666666666667,0.23245989304812836,11,41,20,0
2642486,1.0,2.1896000000000004,236,238,7.0,0.0,2.06,0.0,2.5,0.0,Upper West Side South,Midtown East,40.787,-73.9754,40.7509,-73.96442,6.866666666666666,0.3188737864077671,9,33,24,0
2628916,1.0,26.2269,75,132,44.0,0.0,10.27,6.55,0.0,0.0,Upper West Side South,Midtown East,40.787,-73.9754,40.7509,-73.96442,28.35,0.9251111111111111,6,31,24,0
212889,2.0,3.0429,161,236,11.0,0.0,0.0,0.0,2.5,0.0,Midtown North,East Chelsea,40.754932,-73.984016,40.742352,-74.00621,15.583333333333334,0.1952663101604278,10,47,3,0
3393933,1.0,2.3828,114,164,8.5,0.0,0.0,0.0,2.5,0.0,Little Italy/NoLiTa,SoHo,40.722542,-73.9951515,40.7252,-74.00415,10.1,0.23592079207920794,13,22,31,0
1581247,1.0,3.5420000000000007,17,25,9.0,0.5,2.58,0.0,0.0,0.0,Greenwich Village South,TriBeCa/Civic Center,40.73211001,-73.99648007,40.71626,-74.01257993,10.416666666666666,0.3400320000000001,20,6,14,0
220903,1.0,17.71,70,142,35.0,2.5,8.95,6.55,2.5,0.0,Midtown North,East Chelsea,40.754932,-73.984016,40.742352,-74.00621,31.566666666666666,0.5610348468848997,12,13,3,0
1609245,1.0,1.449,234,79,5.5,0.5,1.0,0.0,2.5,0.0,Clinton West,TriBeCa/Civic Center,40.7629,-73.994,40.71626,-74.01257993,5.066666666666666,0.2859868421052632,1,21,15,0
697091,1.0,4.3631,239,162,12.0,0.0,3.06,0.0,2.5,0.0,Murray Hill,West Village,40.7479,-73.9757,40.7347,-74.0048,14.3,0.3051118881118881,10,33,7,0
1789249,1.0,2.415,68,50,8.0,3.5,3.05,0.0,2.5,0.0,LaGuardia Airport,Yorkville East,40.77013003,-73.86703007,40.76955898,-73.9413803,7.983333333333333,0.3025052192066806,19,30,16,0
2809116,1.0,2.4633000000000003,162,141,10.0,0.0,3.99,0.0,2.5,0.0,Lenox Hill West,Williamsburg (South Side),40.7708,-73.9567,40.7082,-73.9571,13.083333333333334,0.18827770700636945,16,6,25,1
594695,1.0,13.846,234,195,28.5,2.5,7.65,6.55,2.5,0.0,Clinton East,Midtown North,40.7638,-73.9918,40.754932,-73.984016,28.5,0.48582456140350877,12,8,6,0
1837002,1.0,9.338000000000001,140,87,19.0,0.0,2.0,0.0,2.5,0.0,LaGuardia Airport,Lenox Hill East,40.77013003,-73.86703007,40.7662,-73.9602,15.483333333333333,0.6031001076426266,8,59,17,0
1240395,1.0,3.6547,233,50,11.5,0.0,2.96,0.0,2.5,0.0,Union Sq,Midtown Center,40.7359,-73.9911,40.7588,-73.97291,14.75,0.2477762711864407,7,7,12,0
1673836,1.0,5.0071,237,166,13.5,0.0,2.0,0.0,2.5,0.0,Penn Station/Madison Sq West,Gramercy,40.7498,-73.9917,40.7368,-73.9845,15.35,0.32619543973941373,17,20,15,0
2968080,1.0,17.806600000000003,264,163,33.5,0.5,10.96,6.55,2.5,1.25,Central Park,Little Italy/NoLiTa,40.76748004,-73.97069005,40.722542,-73.9951515,25.466666666666665,0.6992120418848169,22,41,26,0
2420986,1.0,17.9032,138,188,34.5,0.5,0.0,0.0,0.0,1.25,Hudson Sq,JFK Airport,40.7266,-74.0075,40.63983,-73.77874,30.583333333333332,0.5853907356948228,23,54,21,0
2732526,1.0,0.8533000000000001,246,48,4.0,0.5,1.56,0.0,2.5,0.0,Lenox Hill West,Murray Hill,40.7708,-73.9567,40.7479,-73.9757,2.683333333333333,0.31800000000000006,22,33,24,0
3054078,3.0,21.252,132,71,40.5,2.25,0.0,0.0,0.0,1.25,Gramercy,Battery Park City,40.7368,-73.9845,40.71131,-74.0159,36.5,0.5822465753424657,18,54,27,0
641397,1.0,2.6082000000000005,236,239,7.5,1.0,0.0,0.0,2.5,0.0,Clinton East,Union Sq,40.7638,-73.9918,40.7359,-73.9911,7.533333333333333,0.3462212389380532,19,7,6,0
35267,1.0,4.186000000000001,162,246,13.0,2.5,4.05,0.0,2.5,0.0,West Chelsea/Hudson Yards,Manhattan Valley,40.75341588,-74.00002199,40.797045,-73.969725,16.883333333333333,0.24793682132280362,12,39,1,0
2925808,1.0,2.4955000000000003,237,236,8.5,1.0,2.56,0.0,2.5,0.0,UN/Turtle Bay South,Garment District,40.74966,-73.96918,40.7544,-73.99185,9.866666666666667,0.2529222972972973,16,31,26,0
63928,3.0,2.5277000000000003,237,43,8.5,0.0,1.4,0.0,2.5,0.0,Upper West Side North,Woodside,40.91394506,-73.84871493,40.7533,-73.9069,9.75,0.25925128205128206,17,39,1,0
